[2024-05-07 18:16:37,183] INFO [Broker id=0] Leader __consumer_offsets-22 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,187] INFO [Broker id=0] Leader __consumer_offsets-29 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,191] INFO [Broker id=0] Leader __consumer_offsets-44 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,193] INFO [Broker id=0] Leader __consumer_offsets-14 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,196] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,200] INFO [Broker id=0] Leader __consumer_offsets-38 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 2 with partition epoch 0, high watermark 2, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,201] INFO [Broker id=0] Leader __consumer_offsets-8 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,203] INFO [Broker id=0] Leader __consumer_offsets-45 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,206] INFO [Broker id=0] Leader __consumer_offsets-15 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,209] INFO [Broker id=0] Leader __consumer_offsets-30 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,212] INFO [Broker id=0] Leader __consumer_offsets-0 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,214] INFO [Broker id=0] Leader __consumer_offsets-35 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,216] INFO [Broker id=0] Leader __consumer_offsets-5 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,218] INFO [Broker id=0] Leader __consumer_offsets-20 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,222] INFO [Broker id=0] Leader __consumer_offsets-27 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 2 with partition epoch 0, high watermark 2, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,223] INFO [Broker id=0] Leader __consumer_offsets-42 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,226] INFO [Broker id=0] Leader __consumer_offsets-12 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,230] INFO [Broker id=0] Leader __consumer_offsets-21 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,234] INFO [Broker id=0] Leader cab-location-0 with topic id Some(Nh5K05ZrQlewZKk0jQleBA) starts at leader epoch 0 from offset 282 with partition epoch 0, high watermark 282, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,234] INFO [Broker id=0] Leader __consumer_offsets-36 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,238] INFO [Broker id=0] Leader __consumer_offsets-6 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,242] INFO [Broker id=0] Leader __consumer_offsets-43 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,246] INFO [Broker id=0] Leader __consumer_offsets-13 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,249] INFO [Broker id=0] Leader __consumer_offsets-28 with topic id Some(3lDcbyl_Toq8XevFQv_hpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-07 18:16:37,259] INFO [Broker id=0] Finished LeaderAndIsr request in 178ms correlationId 1 from controller 0 for 52 partitions (state.change.logger)
[2024-05-07 18:16:37,263] INFO [Broker id=0] Add 52 partitions and deleted 0 partitions from metadata cache in response to UpdateMetadata request sent by controller 0 epoch 2 with correlation id 2 (state.change.logger)
